Nombre,Final,Máximo,Mínimo,Volumen,Efectivo
ACCIONA,95.95,96.75,94.4,84962,8166.11
ACERINOX,8668,8672,8468,88599,7633.81
ACS,37.28,37.66,37.22,655982,24517.29
AENA,167.1,167.5,166.1,133738,22336.10
